SN,Item,QTY,Price (Local),Price (USD),Link,Full Description
1,SpeedyBee F405 V4 Stack,1,INR 6999,77.26,https://ln.run/SAEWv,"Integrated FC + ESC; simplifies wiring. Beginner-friendly with 55A ESC"
2,R2207 2450KV Brushless Motor,4,INR 4364,48.02,https://shorturl.at/k941Z,"Affordable motors; provides up to 5.3kg total thrust. Durable for practice."
3,Radiomaster Pocket Radio Controller,1,INR 6356,65.95,https://shorturl.at/PtI60,"Hall-effect gimbals, afforadable, Long-term reusable"
4,HGLRC ELRS 2.4G RX-T Receiver,1,INR 1496,16.51,https://ln.run/LptKD,"ExpressLRS 2.4GHz receiver; high refresh rate and long range of >=1.6km"
5,Molicel A Grade Li-ion Battery,2,INR 958,10.57,https://ln.run/-mUBN,"3.6V 4200mAh 11C cells for my Radiomaster pocket"
6,TATTU FUNFLY LiPo Battery,1,INR 2396,26.45,https://ln.run/8J29w,"14.8V 100C 1550mAH. High discharge for punchy flight performance"
7,SKYRC B6 Neo 200W DC Smart Charger,1,INR 2887,31.76,https://ln.run/mVmKa,"Compact smart charger. Note: Requires an external XT60 DC power supply"
8,Gemfan Flash 5149 Propeller,3,INR 597,6.59,https://ln.run/iNo8J,"5-inch tri-blade props. Listed price is usually per pair or set"
9,Smart Smoke Stopper,1,INR 1223,13.50,https://ln.run/SdclY,"Self-resetting fuse to protect electronics during the first battery plug-in"
10,Custom-Drone frame,1,NPR 2900,19.94,N/A,"3D printed PETG frame as it can high temp resistance"
11,Strap,1,INR 80,0.88,https://ln.run/eYepS,"Non-slip battery strap to prevent ejections during crashes."
12,Hex screwdriver set,1,NPR 689,4.76,https://ln.run/V-7YO,"required to tighten M3 screws without stripping the heads"
